"","Gene.stable.ID","Chromosome.scaffold.name","Karyotype.band","HGNC.symbol","chr.arm"
"1580","ENSG00000242520",23,"q28","MAGEA5","23q"
"1582","ENSG00000124260",23,"q28","MAGEA10","23q"
"1584","ENSG00000164610",7,"p14.3","RP9","7p"
"1589","ENSG00000185982",20,"p13","DEFB128","20p"
"1595","ENSG00000125903",20,"p13","DEFB129","20p"
"1596","ENSG00000001631",7,"q21.2","KRIT1","7q"
"1598","ENSG00000233122",10,"q26.3","CTAGE7P","10q"
"1604","ENSG00000119922",10,"q23.31","IFIT2","10q"
"1609","ENSG00000011347",11,"q12.2","SYT7","11q"
"1610","ENSG00000125657",19,"p13.3","TNFSF9","19p"
"1613","ENSG00000184368",23,"p22.12","MAP7D2","23p"
"1616","ENSG00000103876",15,"q25.1","FAH","15q"
"1625","ENSG00000120549",10,"p12.2","KIAA1217","10p"
"1628","ENSG00000103647",15,"q23","CORO2B","15q"
"1629","ENSG00000100226",22,"q13.1","GTPBP1","22q"
"1630","ENSG00000255009",11,"q14.3","UBTFL1","11q"
"1636","ENSG00000127951",7,"q11.23","FGL2","7q"
"1649","ENSG00000096968",9,"p24.1","JAK2","9p"
"1656","ENSG00000163629",4,"q21.3","PTPN13","4q"
"1657","ENSG00000265479",7,"q11.23","DTX2P1-UPK3BP1-PMS2P11","7q"
"1664","ENSG00000172554",2,"p25.3","SNTG2","2p"
"1665","ENSG00000250151",3,"p25.3","ARPC4-TTLL3","3p"
"1666","ENSG00000205002",8,"q24.11","AARD","8q"
"1667","ENSG00000162951",2,"p12","LRRTM1","2p"
"1668","ENSG00000213585",5,"q31.1","VDAC1","5q"
"1670","ENSG00000174886",19,"p13.3","NDUFA11","19p"
"1671","ENSG00000120913",8,"p21.3","PDLIM2","8p"
"1672","ENSG00000160191",21,"q22.3","PDE9A","21q"
"1673","ENSG00000133321",11,"q12.3","RARRES3","11q"
"1675","ENSG00000198728",10,"q24.32","LDB1","10q"
"1677","ENSG00000066032",2,"p12","CTNNA2","2p"
"1681","ENSG00000133328",11,"q12.3","HRASLS2","11q"
"1687","ENSG00000225439",2,"p13.1","BOLA3-AS1","2p"
"1691","ENSG00000135205",7,"q11.23","CCDC146","7q"
"1700","ENSG00000176485",11,"q13.1","PLA2G16","11q"
"1703","ENSG00000241553",3,"p25.3","ARPC4","3p"
"1710","ENSG00000130383",19,"p13.3","FUT5","19p"
"1738","ENSG00000104883",19,"p13.2","PEX11G","19p"
"1739","ENSG00000122877",10,"q21.3","EGR2","10q"
"1742","ENSG00000179218",19,"p13.13","CALR","19p"
"1757","ENSG00000173273",8,"p23.1","TNKS","8p"
"1758","ENSG00000131127",4,"p16.3","ZNF141","4p"
"1759","ENSG00000108788",17,"q21.2","MLX","17q"
"1761","ENSG00000109501",4,"p16.1","WFS1","4p"
"1764","ENSG00000123219",5,"q12.3","CENPK","5q"
"1767","ENSG00000157110",8,"p12","RBPMS","8p"
"1770","ENSG00000198816",19,"p13.2","ZNF358","19p"
"1775","ENSG00000234883",21,"q21.3","MIR155HG","21q"
"1777","ENSG00000127995",7,"q21.3","CASD1","7q"
"1785","ENSG00000249915",5,"p15.33","PDCD6","5p"
"1795","ENSG00000186458",20,"p13","DEFB132","20p"
"1798","ENSG00000168875",3,"q22.3","SOX14","3q"
"1801","ENSG00000111863",6,"p24.1","ADTRP","6p"
"1802","ENSG00000115705",2,"p25.3","TPO","2p"
"1821","ENSG00000183354",9,"p24.1","KIAA2026","9p"
"1824","ENSG00000148572",10,"q21.3","NRBF2","10q"
"1825","ENSG00000241258",7,"q11.21","CRCP","7q"
"1826","ENSG00000164889",7,"q36.1","SLC4A2","7q"
"1829","ENSG00000166123",16,"q11.2","GPT2","16q"
"1834","ENSG00000101493",18,"q23","ZNF516","18q"
"1842","ENSG00000185924",17,"p13.3","RTN4RL1","17p"
"1849","ENSG00000120210",9,"p24.1","INSL6","9p"
"1850","ENSG00000154102",16,"q24.1","C16orf74","16q"
"1853","ENSG00000183734",11,"p15.5","ASCL2","11p"
"1854","ENSG00000204469",6,"p21.33","PRRC2A","6p"
"1856","ENSG00000120215",9,"p24.1","MLANA","9p"
"1859","ENSG00000146701",7,"q11.23","MDH2","7q"
"1861","ENSG00000131470",17,"q21.2","PSMC3IP","17q"
"1863","ENSG00000114026",3,"p25.3","OGG1","3p"
"1870","ENSG00000242265",7,"q21.3","PEG10","7q"
"1871","ENSG00000134326",2,"p25.2","CMPK2","2p"
"1876","ENSG00000205086",2,"p21","C2orf91","2p"
"1878","ENSG00000126522",7,"q11.21","ASL","7q"
"1883","ENSG00000127990",7,"q21.3","SGCE","7q"
"1885","ENSG00000164751",8,"q21.13","PEX2","8q"
"1891","ENSG00000079134",18,"p11.32","THOC1","18p"
"1896","ENSG00000155313",21,"q21.1","USP25","21q"
"1898","ENSG00000063438",5,"p15.33","AHRR","5p"
"1903","ENSG00000134321",2,"p25.2","RSAD2","2p"
"1908","ENSG00000187021",10,"q25.3","PNLIPRP1","10q"
"1913","ENSG00000066405",3,"q22.3","CLDN18","3q"
"1915","ENSG00000165476",10,"q21.3","REEP3","10q"
"1916","ENSG00000088930",20,"p11.22","XRN2","20p"
"1920","ENSG00000114978",2,"p13.1","MOB1A","2p"
"1922","ENSG00000171840",12,"p13.33","NINJ2","12p"
"1923","ENSG00000137700",11,"q23.3","SLC37A4","11q"
"1925","ENSG00000171988",10,"q21.3","JMJD1C","10q"
"1933","ENSG00000162063",16,"p13.3","CCNF","16p"
"1936","ENSG00000153930",17,"q22","ANKFN1","17q"
"1937","ENSG00000280837",2,"q34","CPS1-IT1","2q"
"1938","ENSG00000154813",3,"p25.1","DPH3","3p"
"1946","ENSG00000225684",9,"q32","FAM225B","9q"
"1948","ENSG00000231528",9,"q32","FAM225A","9q"
"1962","ENSG00000154719",21,"q21.3","MRPL39","21q"
"1963","ENSG00000132514",17,"p13.1","CLEC10A","17p"
"1965","ENSG00000233382",23,"q24","NKAPP1","23q"
"1971","ENSG00000187650",19,"p13.3","VMAC","19p"
"1975","ENSG00000129993",16,"q24.3","CBFA2T3","16q"
"1976","ENSG00000105519",19,"p13.3","CAPS","19p"
"1977","ENSG00000106052",7,"p15.2","TAX1BP1","7p"
"1979","ENSG00000101883",23,"q24","RHOXF1","23q"
"1984","ENSG00000174015",13,"q14.13","SPERT","13q"
"1985","ENSG00000140451",15,"q22.31","PIF1","15q"
"1988","ENSG00000126351",17,"q21.1","THRA","17q"
"1991","ENSG00000175065",18,"q12.1","DSG4","18q"
"1993","ENSG00000215559",21,"q11.2","ANKRD20A11P","21q"
"1994","ENSG00000178573",16,"q23.2","MAF","16q"
"1997","ENSG00000031823",19,"p13.3","RANBP3","19p"
"1998","ENSG00000179262",19,"p13.13","RAD23A","19p"
"1999","ENSG00000170017",3,"q13.11","ALCAM","3q"
"2000","ENSG00000177646",3,"q21.3","ACAD9","3q"
"2003","ENSG00000184743",11,"q13.1","ATL3","11q"
"2010","ENSG00000102524",13,"q33.3","TNFSF13B","13q"
"2011","ENSG00000174640",3,"q22.2","SLCO2A1","3q"
"2012","ENSG00000106819",9,"q22.31","ASPN","9q"
"2013","ENSG00000109738",4,"q32.1","GLRB","4q"
"2016","ENSG00000152495",5,"q22.1","CAMK4","5q"
"2017","ENSG00000241852",8,"p21.3","C8orf58","8p"
"2020","ENSG00000171033",8,"q21.13","PKIA","8q"
"2021","ENSG00000134760",18,"q12.1","DSG1","18q"
"2022","ENSG00000179271",19,"p13.13","GADD45GIP1","19p"
"2023","ENSG00000198000",9,"q22.31","NOL8","9q"
"2024","ENSG00000128271",22,"q11.23","ADORA2A","22q"
"2033","ENSG00000114315",3,"q29","HES1","3q"
"2034","ENSG00000119321",9,"q32","FKBP15","9q"
"2037","ENSG00000162878",2,"p21","PKDCC","2p"
"2040","ENSG00000163751",3,"q24","CPA3","3q"
"2045","ENSG00000168876",11,"q21","ANKRD49","11q"
"2048","ENSG00000243742",11,"q12.2","RPLP0P2","11q"
"2052","ENSG00000101557",18,"p11.32","USP14","18p"
"2054","ENSG00000154162",5,"p14.3","CDH12","5p"
"2055","ENSG00000087842",23,"p22.2","PIR","23p"
"2062","ENSG00000077514",11,"q13.4","POLD3","11q"
"2065","ENSG00000226481",2,"p11.1","ACTR3BP2","2p"
"2067","ENSG00000153002",3,"q24","CPB1","3q"
"2075","ENSG00000011677",23,"q28","GABRA3","23q"
"2077","ENSG00000106460",7,"p21.3","TMEM106B","7p"
"2078","ENSG00000164039",4,"q24","BDH2","4q"
"2080","ENSG00000136867",9,"q32","SLC31A2","9q"
"2081","ENSG00000171916",17,"p11.2","LGALS9C","17p"
"2082","ENSG00000115598",2,"q12.1","IL1RL2","2q"
"2083","ENSG00000103534",16,"p12.3","TMC5","16p"
"2084","ENSG00000186522",2,"q13","SEPT10","2q"
"2086","ENSG00000011295",17,"p12","TTC19","17p"
"2087","ENSG00000100014",22,"q11.23","SPECC1L","22q"
"2092","ENSG00000134597",23,"q26.1","RBMX2","23q"
"2093","ENSG00000102010",23,"p22.2","BMX","23p"
"2099","ENSG00000168967",5,"p14.3","PMCHL1","5p"
"2101","ENSG00000092421",5,"q23.1","SEMA6A","5q"
"2105","ENSG00000165632",10,"p14","TAF3","10p"
"2107","ENSG00000274052",13,"q21.31","OR7E156P","13q"
"2110","ENSG00000150594",10,"q25.2","ADRA2A","10q"
"2111","ENSG00000131143",16,"q24.1","COX4I1","16q"
"2113","ENSG00000196233",10,"q24.1","LCOR","10q"
"2119","ENSG00000214021",3,"p25.3","TTLL3","3p"
"2123","ENSG00000077616",11,"q14.3","NAALAD2","11q"
"2125","ENSG00000114656",3,"q21.3","KIAA1257","3q"
"2126","ENSG00000132740",11,"q13.3","IGHMBP2","11q"
"2128","ENSG00000125879",20,"p12.1","OTOR","20p"
"2132","ENSG00000114904",3,"p21.1","NEK4","3p"
"2133","ENSG00000196476",20,"p13","C20orf96","20p"
"2137","ENSG00000166582",17,"p11.2","CENPV","17p"
"2140","ENSG00000083720",5,"p13.1","OXCT1","5p"
"2144","ENSG00000234336",7,"p15.1","JAZF1-AS1","7p"
"2145","ENSG00000153814",7,"p15.1","JAZF1","7p"
"2154","ENSG00000164038",4,"q24","SLC9B2","4q"
"2155","ENSG00000167323",11,"p15.4","STIM1","11p"
"2156","ENSG00000095637",10,"q24.1","SORBS1","10q"
"2163","ENSG00000183506",22,"q11.21","PI4KAP2","22q"
"2164","ENSG00000215475",13,"q14.13","SIAH3","13q"
"2172","ENSG00000214941",17,"p12","ZSWIM7","17p"
"2176","ENSG00000131148",16,"q24.1","EMC8","16q"
"2178","ENSG00000175536",11,"q13.4","LIPT2","11q"
"2179","ENSG00000168268",3,"p21.1","NT5DC2","3p"
"2182","ENSG00000164885",7,"q36.1","CDK5","7q"
"2186","ENSG00000100024",22,"q11.23","UPB1","22q"
"2191","ENSG00000144736",3,"p13","SHQ1","3p"
"2192","ENSG00000123200",13,"q14.13","ZC3H13","13q"
"2193","ENSG00000118181",11,"q23.3","RPS25","11q"
"2202","ENSG00000130826",23,"q28","DKC1","23q"
"2204","ENSG00000181803",14,"q11.2","OR6S1","14q"
"2205","ENSG00000138639",4,"q21.23","ARHGAP24","4q"
"2206","ENSG00000105122",19,"p13.12","RASAL3","19p"
"2218","ENSG00000172680",8,"q12.1","MOS","8q"
"2225","ENSG00000230613",20,"q11.21","HM13-AS1","20q"
"2226","ENSG00000181690",8,"q12.1","PLAG1","8q"
"2231","ENSG00000101294",20,"q11.21","HM13","20q"
"2232","ENSG00000182263",2,"q24.3","FIGN","2q"
"2233","ENSG00000240970",11,"q23.3","RPL23AP64","11q"
"2236","ENSG00000196655",11,"q23.3","TRAPPC4","11q"
"2240","ENSG00000143924",2,"p21","EML4","2p"
"2244","ENSG00000171970",19,"p13.3","ZNF57","19p"
"2246","ENSG00000155428",7,"q11.23","TRIM74","7q"
"2251","ENSG00000163681",3,"p14.3","SLMAP","3p"
"2253","ENSG00000105640",19,"p13.11","RPL18A","19p"
"2256","ENSG00000122254",16,"p12.2","HS3ST2","16p"
"2260","ENSG00000069206",8,"p21.2","ADAM7","8p"
"2264","ENSG00000113389",5,"p13.3","NPR3","5p"
"2266","ENSG00000032742",13,"q12.11","IFT88","13q"
"2267","ENSG00000258818",14,"q11.2","RNASE4","14q"
"2270","ENSG00000110169",11,"p15.4","HPX","11p"
"2272","ENSG00000179284",19,"p13.13","DAND5","19p"
"2277","ENSG00000214274",14,"q11.2","ANG","14q"
"2279","ENSG00000178772",3,"q29","CPN2","3q"
"2284","ENSG00000163939",3,"p21.1","PBRM1","3p"
"2294","ENSG00000080618",13,"q14.13","CPB2","13q"
"2297","ENSG00000122729",9,"p21.1","ACO1","9p"
"2310","ENSG00000183691",17,"q22","NOG","17q"
"2316","ENSG00000154065",18,"q11.2","ANKRD29","18q"
"2318","ENSG00000168589",16,"q23.2","DYNLRB2","16q"
"2322","ENSG00000105948",7,"q34","TTC26","7q"
"2325","ENSG00000153933",17,"q22","DGKE","17q"
"2328","ENSG00000183304",23,"p22.31","FAM9A","23p"
"2332","ENSG00000186166",11,"q23.3","CCDC84","11q"
"2333","ENSG00000042980",8,"p21.2","ADAM28","8p"
"2334","ENSG00000069345",16,"q11.2","DNAJA2","16q"
"2337","ENSG00000109339",4,"q21.3","MAPK10","4q"
"2342","ENSG00000075151",1,"p36.12","EIF4G3","1p"
"2343","ENSG00000172061",3,"q29","LRRC15","3q"
"2347","ENSG00000248228",4,"p15.31","SLIT2-IT1","4p"
"2348","ENSG00000121060",17,"q22","TRIM25","17q"
"2353","ENSG00000235903",13,"q14.13","CPB2-AS1","13q"
"2354","ENSG00000178732",3,"q29","GP5","3q"
"2355","ENSG00000145147",4,"p15.31","SLIT2","4p"
"2356","ENSG00000177138",23,"p22.31","FAM9B","23p"
"2357","ENSG00000196116",9,"q22.33","TDRD7","9q"
"2362","ENSG00000251595",4,"p16.3","ABCA11P","4p"
"2364","ENSG00000174353",7,"q11.23","STAG3L3","7q"
"2367","ENSG00000182903",4,"p16.3","ZNF721","4p"
"2375","ENSG00000158163",3,"q22.3","DZIP1L","3q"
"2384","ENSG00000103404",16,"p12.2","USP31","16p"
"2385","ENSG00000119778",2,"p23.3","ATAD2B","2p"
"2392","ENSG00000167080",17,"q21.32","B4GALNT2","17q"
"2397","ENSG00000187098",3,"p13","MITF","3p"
"2398","ENSG00000101150",20,"q13.33","TPD52L2","20q"
"2408","ENSG00000214226",17,"q22","C17orf67","17q"
"2409","ENSG00000154537",9,"q13","FAM27C","9q"
"2410","ENSG00000160948",8,"q24.3","VPS28","8q"
"2420","ENSG00000160213",21,"q22.3","CSTB","21q"
"2427","ENSG00000163785",3,"q22.2","RYK","3q"
"2429","ENSG00000183091",2,"q23.3","NEB","2q"
"2431","ENSG00000170791",8,"q12.1","CHCHD7","8q"
"2432","ENSG00000247315",20,"p13","ZCCHC3","20p"
"2446","ENSG00000125166",16,"q21","GOT2","16q"
"2450","ENSG00000125841",20,"p13","NRSN2","20p"
"2456","ENSG00000186628",15,"q25.2","FSD2","15q"
"2457","ENSG00000156990",3,"p25.3","RPUSD3","3p"
"2458","ENSG00000104427",8,"q21.13","ZC2HC1A","8q"
"2459","ENSG00000079150",2,"q31.2","FKBP7","2q"
"2462","ENSG00000148143",9,"q31.2","ZNF462","9q"
"2478","ENSG00000165113",9,"q21.32","GKAP1","9q"
"2479","ENSG00000170776",15,"q25.3","AKAP13","15q"
"2483","ENSG00000104432",8,"q21.13","IL7","8q"
"2485","ENSG00000134028",8,"p21.2","ADAMDEC1","8p"
"2489","ENSG00000182175",15,"q26.1","RGMA","15q"
"2491","ENSG00000168288",2,"q23.2","MMADHC","2q"
"2495","ENSG00000102309",23,"q13.1","PIN4","23q"
"2499","ENSG00000205571",5,"q13.2","SMN2","5q"
"2502","ENSG00000177732",20,"p13","SOX12","20p"
"2506","ENSG00000175691",19,"p13.3","ZNF77","19p"
"2516","ENSG00000153046",6,"p25.1","CDYL","6p"
"2517","ENSG00000106554",7,"q33","CHCHD3","7q"
"2522","ENSG00000125931",23,"q13.1","CITED1","23q"
"2529","ENSG00000115604",2,"q12.1","IL18R1","2q"
"2533","ENSG00000041515",13,"q33.3","MYO16","13q"
"2535","ENSG00000173960",2,"p23.3","UBXN2A","2p"
"2536","ENSG00000187754",23,"p11.22","SSX7","23p"
"2538","ENSG00000165115",9,"q21.32","KIF27","9q"
"2546","ENSG00000115486",2,"p11.2","GGCX","2p"
"2560","ENSG00000177963",11,"p15.5","RIC8A","11p"
"2561","ENSG00000152086",2,"q21.1","TUBA3E","2q"
"2562","ENSG00000154721",21,"q21.3","JAM2","21q"
"2570","ENSG00000171148",3,"p25.3","TADA3","3p"
"2572","ENSG00000211460",2,"q14.3","TSN","2q"
"2575","ENSG00000151364",11,"q14.1","KCTD14","11q"
"2576","ENSG00000141560",17,"q25.3","FN3KRP","17q"
"2577","ENSG00000169992",17,"p13.1","NLGN2","17p"
"2584","ENSG00000259112",11,"q14.1","NDUFC2-KCTD14","11q"
"2585","ENSG00000205085",7,"q32.1","FAM71F2","7q"
"2586","ENSG00000115602",2,"q12.1","IL1RL1","2q"
"2587","ENSG00000147403",23,"q28","RPL10","23q"
"2588","ENSG00000198034",23,"q13.1","RPS4X","23q"
"2591","ENSG00000151365",11,"q14.1","THRSP","11q"
"2595","ENSG00000151366",11,"q14.1","NDUFC2","11q"
"2602","ENSG00000177679",7,"q11.23","SRRM3","7q"
"2606","ENSG00000125851",20,"p12.1","PCSK2","20p"
"2608","ENSG00000148840",10,"q24.32","PPRC1","10q"
"2609","ENSG00000186871",23,"q13.1","ERCC6L","23q"
"2615","ENSG00000236242",13,"q33.3","MYO16-AS1","13q"
"2618","ENSG00000161958",17,"p13.1","FGF11","17p"
"2619","ENSG00000138769",4,"q21.1","CDKL2","4q"
"2620","ENSG00000185627",11,"p15.5","PSMD13","11p"
"2623","ENSG00000115290",2,"q24.3","GRB14","2q"
"2627","ENSG00000185926",11,"q11","OR4C46","11q"
"2628","ENSG00000108798",17,"q21.32","ABI3","17q"
"2650","ENSG00000091138",7,"q31.1","SLC26A3","7q"
"2651","ENSG00000147647",8,"q22.3","DPYS","8q"
"2656","ENSG00000008441",19,"p13.13","NFIX","19p"
"2672","ENSG00000109113",17,"q11.2","RAB34","17q"
"2675","ENSG00000164756",8,"q24.11","SLC30A8","8q"
"2680","ENSG00000108010",10,"q26.3","GLRX3","10q"
"2683","ENSG00000163960",3,"q29","UBXN7","3q"
"2687","ENSG00000188992",21,"q11.2","LIPI","21q"
"2690","ENSG00000181323",17,"p13.1","SPEM1","17p"
"2692","ENSG00000164935",8,"q22.3","DCSTAMP","8q"
"2699","ENSG00000167083",17,"q21.32","GNGT2","17q"
"2702","ENSG00000172938",11,"q13.3","MRGPRD","11q"
"2705","ENSG00000181284",17,"p13.1","TMEM102","17p"
"2707","ENSG00000159788",4,"p16.3","RGS12","4p"
"2711","ENSG00000106823",9,"q22.31","ECM2","9q"
"2712","ENSG00000052802",4,"q32.3","MSMO1","4q"
"2714","ENSG00000104953",19,"p13.3","TLE6","19p"
"2720","ENSG00000170175",17,"p13.1","CHRNB1","17p"
"2724","ENSG00000066230",5,"p15.33","SLC9A3","5p"
"2725","ENSG00000168906",2,"p11.2","MAT2A","2p"
"2728","ENSG00000106258",7,"q22.1","CYP3A5","7q"
"2729","ENSG00000163702",3,"p25.3","IL17RC","3p"
"2730","ENSG00000133115",13,"q13.3","STOML3","13q"
"2732","ENSG00000132005",19,"p13.12","RFX1","19p"
"2734","ENSG00000102125",23,"q28","TAZ","23q"
"2736","ENSG00000110436",11,"p13","SLC1A2","11p"
"2742","ENSG00000188312",9,"q22.31","CENPP","9q"
"2745","ENSG00000136875",9,"q32","PRPF4","9q"
"2747","ENSG00000133101",13,"q13.3","CCNA1","13q"
"2756","ENSG00000172935",11,"q13.3","MRGPRF","11q"
"2758","ENSG00000163145",4,"p15.32","C1QTNF7","4p"
"2760","ENSG00000152380",5,"q14.1","FAM151B","5q"
"2761","ENSG00000215480",13,"q14.11","OR7E37P","13q"
"2767","ENSG00000102760",13,"q14.11","RGCC","13q"
"2768","ENSG00000068305",15,"q26.3","MEF2A","15q"
"2770","ENSG00000164764",8,"q21.11","SBSPON","8q"
"2771","ENSG00000119927",10,"q25.2","GPAM","10q"
"2774","ENSG00000127083",9,"q22.31","OMD","9q"
"2775","ENSG00000131873",15,"q26.3","CHSY1","15q"
"2777","ENSG00000147601",8,"q21.11","TERF1","8q"
"2779","ENSG00000095951",6,"p24.1","HIVEP1","6p"
"2782","ENSG00000167280",17,"q25.3","ENGASE","17q"
"2783","ENSG00000106809",9,"q22.31","OGN","9q"
"2785","ENSG00000137449",4,"p15.32","CPEB2","4p"
"2786","ENSG00000151475",4,"q28.1","SLC25A31","4q"
"2791","ENSG00000180104",5,"p15.33","EXOC3","5p"
"2795","ENSG00000154727",21,"q21.3","GABPA","21q"
"2796","ENSG00000140464",15,"q24.1","PML","15q"
"2806","ENSG00000136868",9,"q32","SLC31A1","9q"
"2809","ENSG00000142082",11,"p15.5","SIRT3","11p"
"2812","ENSG00000189127",5,"q14.1","ANKRD34B","5q"
"2815","ENSG00000134049",18,"q21.1","IER3IP1","18q"
"2819","ENSG00000133392",16,"p13.11","MYH11","16p"
"2820","ENSG00000127080",9,"q22.31","IPPK","9q"
"2822","ENSG00000136603",3,"q26.2","SKIL","3q"
"2824","ENSG00000198284",3,"q21.3","NUP210P1","3q"
"2827","ENSG00000137714",11,"q22.3","FDX1","11q"
"2830","ENSG00000167220",18,"q21.1","HDHD2","18q"
"2832","ENSG00000182674",8,"q21.11","KCNB2","8q"
"2833","ENSG00000060237",12,"p13.33","WNK1","12p"
"2834","ENSG00000176386",9,"q32","CDC26","9q"
"2847","ENSG00000204655",6,"p22.1","MOG","6p"
"2849","ENSG00000205765",5,"p13.1","C5orf51","5p"
"2850","ENSG00000114019",3,"q22.2","AMOTL2","3q"
"2861","ENSG00000181562",14,"q11.2","EDDM3A","14q"
"2863","ENSG00000132517",17,"p13.2","SLC52A1","17p"
"2866","ENSG00000131378",3,"p24.3","RFTN1","3p"
"2867","ENSG00000170786",8,"q12.1","SDR16C5","8q"
"2868","ENSG00000177398",21,"q22.3","UMODL1","21q"
"2870","ENSG00000181552",14,"q11.2","EDDM3B","14q"
"2873","ENSG00000150995",3,"p26.1","ITPR1","3p"
"2878","ENSG00000278338",13,"q14.11","VWA8-AS1","13q"
"2879","ENSG00000102891",16,"q13","MT4","16q"
"2881","ENSG00000102763",13,"q14.11","VWA8","13q"
"2883","ENSG00000161031",19,"p13.12","PGLYRP2","19p"
"2899","ENSG00000185950",13,"q34","IRS2","13q"
"2900","ENSG00000151692",2,"p25.1","RNF144A","2p"
"2901","ENSG00000183060",15,"q26.3","LYSMD4","15q"
"2903","ENSG00000010270",7,"p14.1","STARD3NL","7p"
"2904","ENSG00000136167",13,"q14.13","LCP1","13q"
"2905","ENSG00000087250",16,"q13","MT3","16q"
"2909","ENSG00000142606",1,"p36.32","MMEL1","1p"
"2910","ENSG00000116095",2,"q31.2","PLEKHA3","2q"
"2921","ENSG00000169413",14,"q11.2","RNASE6","14q"
"2924","ENSG00000151876",5,"p13.1","FBXO4","5p"
"2926","ENSG00000228203",2,"p25.1","RNF144A-AS1","2p"
"2945","ENSG00000226978",7,"q21.11","MAGI2-AS2","7q"
"2949","ENSG00000205639",2,"p23.3","MFSD2B","2p"
"2954","ENSG00000160214",21,"q22.3","RRP1","21q"
"2956","ENSG00000187391",7,"q21.11","MAGI2","7q"
"2960","ENSG00000119782",2,"p23.3","FKBP1B","2p"
"2966","ENSG00000116032",19,"p13.3","GRIN3B","19p"
"2978","ENSG00000107485",10,"p14","GATA3","10p"
"2979","ENSG00000169704",3,"q21.3","GP9","3q"
"2982","ENSG00000125148",16,"q13","MT2A","16q"
"2986","ENSG00000154814",3,"p25.1","OXNAD1","3p"
"2991","ENSG00000181195",8,"q12.1","PENK","8q"
"2996","ENSG00000165630",10,"p13","PRPF18","10p"
"2998","ENSG00000109472",4,"q32.3","CPE","4q"
"3002","ENSG00000260549",16,"q13","MT1L","16q"
"3007","ENSG00000107201",9,"p21.1","DDX58","9p"
"3010","ENSG00000156232",15,"q25.2","WHAMM","15q"
"3012","ENSG00000136718",2,"q21.1","IMP4","2q"
"3019","ENSG00000164758",8,"q24.11","MED30","8q"
"3024","ENSG00000197565",23,"q22.3","COL4A6","23q"
"3048","ENSG00000013563",23,"q28","DNASE1L1","23q"
"3062","ENSG00000106211",7,"q11.23","HSPB1","7q"
"3066","ENSG00000171798",10,"q26.3","KNDC1","10q"
"3067","ENSG00000151474",10,"p13","FRMD4A","10p"
"3075","ENSG00000013306",17,"q21.31","SLC25A39","17q"
"3076","ENSG00000171136",19,"p13.12","RLN3","19p"
"3080","ENSG00000099901",22,"q11.21","RANBP1","22q"
"3081","ENSG00000163754",3,"q24","GYG1","3q"
"3082","ENSG00000189308",4,"q21.22","LIN54","4q"
"3085","ENSG00000032444",19,"p13.2","PNPLA6","19p"
"3086","ENSG00000228842",13,"q21.32","PCDH9-AS2","13q"
"3087","ENSG00000225263",13,"q21.32","PCDH9-AS3","13q"
"3089","ENSG00000184226",13,"q21.32","PCDH9","13q"
"3094","ENSG00000144354",2,"q31.1","CDCA7","2q"
"3100","ENSG00000054796",20,"q13.31","SPO11","20q"
"3102","ENSG00000215912",1,"p36.32","TTC34","1p"
"3103","ENSG00000198142",2,"q13","SOWAHC","2q"
"3105","ENSG00000016864",3,"p21.1","GLT8D1","3p"
"3108","ENSG00000172139",3,"q13.2","SLC9C1","3q"
"3109","ENSG00000167105",17,"q21.33","TMEM92","17q"
"3110","ENSG00000182676",17,"q25.3","PPP1R27","17q"
"3128","ENSG00000164256",5,"p14.2","PRDM9","5p"
"3129","ENSG00000102967",16,"q22.2","DHODH","16q"
"3146","ENSG00000099899",22,"q11.21","TRMT2A","22q"
"3148","ENSG00000120685",13,"q13.3","PROSER1","13q"
"3149","ENSG00000180787",17,"p13.2","ZFP3","17p"
"3151","ENSG00000136710",2,"q21.1","CCDC115","2q"
"3152","ENSG00000185272",21,"q11.2","RBM11","21q"
"3157","ENSG00000185651",22,"q11.21","UBE2L3","22q"
"3162","ENSG00000105641",19,"p13.11","SLC5A5","19p"
"3163","ENSG00000198003",19,"p13.2","CCDC151","19p"
"3168","ENSG00000133657",3,"q29","ATP13A3","3q"
"3171","ENSG00000170027",7,"q11.23","YWHAG","7q"
"3172","ENSG00000129204",17,"p13.2","USP6","17p"
"3175","ENSG00000161944",17,"p13.1","ASGR2","17p"
"3182","ENSG00000137522",11,"q13.4","RNF121","11q"
"3184","ENSG00000110172",11,"q14.3","CHORDC1","11q"
"3187","ENSG00000172780",3,"q21.3","RAB43","3q"
"3191","ENSG00000163501",2,"q35","IHH","2q"
"3192","ENSG00000005102",17,"q21.31","MEOX1","17q"
"3197","ENSG00000214652",7,"q11.21","ZNF727","7q"
"3200","ENSG00000221840",11,"q11","OR4A5","11q"
"3212","ENSG00000150244",11,"q11","TRIM48","11q"
"3213","ENSG00000169255",3,"q26.1","B3GALNT1","3q"
"3217","ENSG00000010295",12,"p13.31","IFFO1","12p"
"3218","ENSG00000189366",3,"q21.2","ALG1L","3q"
"3220","ENSG00000130175",19,"p13.2","PRKCSH","19p"
"3223","ENSG00000010327",3,"p21.1","STAB1","3p"
"3224","ENSG00000167941",17,"q21.31","SOST","17q"
"3226","ENSG00000171084",3,"q21.2","FAM86JP","3q"
"3227","ENSG00000104998",19,"p13.12","IL27RA","19p"
